请坐。	Qǐng zuò	Mời ngồi
请进。	Qǐng jìn	Mời vào
请喝茶。	Qǐng hē chá	Mời uống trà
请等一下。	Qǐng děng yíxià	Xin đợi một chút
请你帮我。	Qǐng nǐ bāng wǒ	Xin bạn giúp tôi
请别说话。	Qǐng bié shuōhuà	Xin đừng nói chuyện
请慢走。	Qǐng màn zǒu	Đi thong thả nhé
请告诉我。	Qǐng gàosu wǒ	Xin hãy nói cho tôi biết
请开门。	Qǐng kāimén	Xin mở cửa
请再说一遍。	Qǐng zài shuō yí biàn	Xin nói lại một lần
你几岁？	Nǐ jǐ suì	Bạn bao nhiêu tuổi?
现在几点？	Xiànzài jǐ diǎn	Bây giờ mấy giờ?
你家有几个人？	Nǐ jiā yǒu jǐ ge rén	Nhà bạn có mấy người?
你买了几个苹果？	Nǐ mǎi le jǐ ge píngguǒ	Bạn mua mấy quả táo?
今天星期几？	Jīntiān xīngqī jǐ	Hôm nay thứ mấy?
你学汉语几年了？	Nǐ xué Hànyǔ jǐ nián le	Bạn học tiếng Trung mấy năm rồi?
这里有几本书？	Zhèlǐ yǒu jǐ běn shū	Ở đây có mấy quyển sách?
你几点下班？	Nǐ jǐ diǎn xiàbān	Bạn mấy giờ tan làm?
你想去几天？	Nǐ xiǎng qù jǐ tiān	Bạn muốn đi mấy ngày?
这个多少钱一斤？	Zhège duōshao qián yì jīn	Cái này bao nhiêu tiền một cân?
我不会喝酒。	Wǒ bú huì hējiǔ	Tôi không biết uống rượu
他喜欢喝啤酒。	Tā xǐhuan hē píjiǔ	Anh ấy thích uống bia
少喝点儿酒。	Shǎo hē diǎnr jiǔ	Uống ít rượu thôi
这酒很贵。	Zhè jiǔ hěn guì	Rượu này rất đắt
我爸爸爱喝白酒。	Wǒ bàba ài hē báijiǔ	Bố tôi thích uống rượu trắng
你想喝什么酒？	Nǐ xiǎng hē shénme jiǔ	Bạn muốn uống loại rượu nào?
他喝醉了。	Tā hē zuì le	Anh ấy uống say rồi
我从来不喝酒。	Wǒ cónglái bù hējiǔ	Tôi chưa bao giờ uống rượu
红酒对身体不错。	Hóngjiǔ duì shēntǐ búcuò	Rượu vang tốt cho cơ thể
别开车喝酒。	Bié kāichē hējiǔ	Đừng uống rượu khi lái xe
我买了一束花。	Wǒ mǎi le yí shù huā	Tôi mua một bó hoa
这花很漂亮。	Zhè huā hěn piàoliang	Hoa này rất đẹp
她喜欢玫瑰花。	Tā xǐhuan méiguihuā	Cô ấy thích hoa hồng
公园里有很多花。	Gōngyuán lǐ yǒu hěn duō huā	Trong công viên có nhiều hoa
我花了很多钱。	Wǒ huā le hěn duō qián	Tôi đã tiêu rất nhiều tiền
他不喜欢乱花钱。	Tā bù xǐhuan luàn huā qián	Anh ấy không thích tiêu tiền linh tinh
春天的花很多。	Chūntiān de huā hěn duō	Mùa xuân có nhiều hoa
这件衣服花了多少钱？	Zhè jiàn yīfu huā le duōshao qián	Bộ quần áo này tốn bao nhiêu tiền?
她送我一朵花。	Tā sòng wǒ yì duǒ huā	Cô ấy tặng tôi một bông hoa
我喜欢看花。	Wǒ xǐhuan kàn huā	Tôi thích ngắm hoa
我喜欢吃零食。	Wǒ xǐhuan chī língshí	Tôi thích ăn đồ ăn vặt
别吃太多零食。	Bié chī tài duō língshí	Đừng ăn quá nhiều đồ ăn vặt
超市里有很多零食。	Chāoshì lǐ yǒu hěn duō língshí	Trong siêu thị có nhiều đồ ăn vặt
你想吃什么零食？	Nǐ xiǎng chī shénme língshí	Bạn muốn ăn đồ ăn vặt gì?
小孩子都喜欢零食。	Xiǎoháizi dōu xǐhuan língshí	Trẻ con đều thích đồ ăn vặt
我买了一些零食。	Wǒ mǎi le yìxiē língshí	Tôi mua một ít đồ ăn vặt
看电影的时候我喜欢吃零食。	Kàn diànyǐng de shíhou wǒ xǐhuan chī língshí	Lúc xem phim tôi thích ăn đồ ăn vặt
零食别放在床上。	Língshí bié fàng zài chuáng shàng	Đừng để đồ ăn vặt trên giường
这些零食很好吃。	Zhèxiē língshí hěn hǎochī	Những đồ ăn vặt này rất ngon
我很少吃零食。	Wǒ hěn shǎo chī língshí	Tôi ít ăn đồ ăn vặt
你先上去吧。	Nǐ xiān shàngqù ba	Bạn lên trước đi
我马上上去。	Wǒ mǎshàng shàngqù	Tôi lên ngay
他跑上去了。	Tā pǎo shàngqù le	Anh ấy chạy lên rồi
我们一起上去看看。	Wǒmen yìqǐ shàngqù kànkan	Chúng ta cùng lên xem đi
快上去，老师来了。	Kuài shàngqù, lǎoshī lái le	Mau lên đi, giáo viên tới rồi
猫跳上去了。	Māo tiào shàngqù le	Con mèo nhảy lên rồi
我不敢上去。	Wǒ bù gǎn shàngqù	Tôi không dám lên
你能帮我拿上去吗？	Nǐ néng bāng wǒ ná shàngqù ma	Bạn có thể giúp tôi mang lên không?
他已经上去了。	Tā yǐjīng shàngqù le	Anh ấy đã lên rồi
电梯坏了，我们走上去吧。	Diàntī huài le, wǒmen zǒu shàngqù ba	Thang máy hỏng rồi, chúng ta đi bộ lên đi
我们坐电梯上楼。	Wǒmen zuò diàntī shàng lóu	Chúng tôi đi thang máy lên lầu
电梯坏了。	Diàntī huài le	Thang máy hỏng rồi
请等一下电梯。	Qǐng děng yíxià diàntī	Xin đợi thang máy một chút
电梯里很多人。	Diàntī lǐ hěn duō rén	Trong thang máy có nhiều người
我不喜欢坐电梯。	Wǒ bù xǐhuan zuò diàntī	Tôi không thích đi thang máy
这栋楼有两部电梯。	Zhè dòng lóu yǒu liǎng bù diàntī	Tòa nhà này có hai thang máy
电梯在右边。	Diàntī zài yòubiān	Thang máy ở bên phải
我们等电梯吧。	Wǒmen děng diàntī ba	Chúng ta đợi thang máy đi
他刚从电梯出来。	Tā gāng cóng diàntī chūlái	Anh ấy vừa ra khỏi thang máy
坐电梯很方便。	Zuò diàntī hěn fāngbiàn	Đi thang máy rất tiện
小区的管理员很负责。	Xiǎoqū de guǎnlǐyuán hěn fùzé	Người quản lý khu chung cư rất có trách nhiệm
我想找管理员帮忙。	Wǒ xiǎng zhǎo guǎnlǐyuán bāngmáng	Tôi muốn tìm quản lý giúp đỡ
管理员正在开门。	Guǎnlǐyuán zhèngzài kāimén	Người quản lý đang mở cửa
这位管理员很亲切。	Zhè wèi guǎnlǐyuán hěn qīnqiè	Người quản lý này rất thân thiện
学校管理员通知我们明天开学。	Xuéxiào guǎnlǐyuán tōngzhī wǒmen míngtiān kāixué	Quản lý trường thông báo mai khai giảng
管理员不让我们进去。	Guǎnlǐyuán bú ràng wǒmen jìnqù	Người quản lý không cho chúng tôi vào
我已经联系管理员了。	Wǒ yǐjīng liánxì guǎnlǐyuán le	Tôi đã liên lạc với quản lý rồi
图书馆管理员很忙。	Túshūguǎn guǎnlǐyuán hěn máng	Quản lý thư viện rất bận
有问题可以问管理员。	Yǒu wèntí kěyǐ wèn guǎnlǐyuán	Có vấn đề có thể hỏi quản lý
管理员每天都检查电梯。	Guǎnlǐyuán měitiān dōu jiǎnchá diàntī	Người quản lý mỗi ngày đều kiểm tra thang máy
他不会管理时间。	Tā bú huì guǎnlǐ shíjiān	Anh ấy không biết quản lý thời gian
我爸爸管理一家公司。	Wǒ bàba guǎnlǐ yì jiā gōngsī	Bố tôi quản lý một công ty
她很会管理孩子。	Tā hěn huì guǎnlǐ háizi	Cô ấy rất biết quản lý con cái
老师正在管理学生。	Lǎoshī zhèngzài guǎnlǐ xuésheng	Giáo viên đang quản lý học sinh
我想学习管理。	Wǒ xiǎng xuéxí guǎnlǐ	Tôi muốn học quản lý
管理工作不容易。	Guǎnlǐ gōngzuò bù róngyì	Công việc quản lý không dễ
他管理这家饭店很多年了。	Tā guǎnlǐ zhè jiā fàndiàn hěn duō nián le	Anh ấy quản lý nhà hàng này nhiều năm rồi
你应该好好管理自己的钱。	Nǐ yīnggāi hǎohāo guǎnlǐ zìjǐ de qián	Bạn nên quản lý tiền của mình cho tốt
这个学校管理得很好。	Zhège xuéxiào guǎnlǐ de hěn hǎo	Trường này được quản lý rất tốt
她管理一个很大的团队。	Tā guǎnlǐ yí ge hěn dà de tuánduì	Cô ấy quản lý một đội nhóm rất lớn
你快下来吃饭吧。	Nǐ kuài xiàlai chīfàn ba	Mau xuống ăn cơm đi
他从楼上下来了。	Tā cóng lóu shàng xiàlai le	Anh ấy từ trên lầu đi xuống rồi
请你下来一下。	Qǐng nǐ xiàlai yíxià	Mời bạn xuống một chút
雨终于下来了。	Yǔ zhōngyú xiàlai le	Cuối cùng trời cũng mưa xuống
她慢慢地下来了。	Tā mànman de xiàlai le	Cô ấy từ từ đi xuống
猫从树上下来了。	Māo cóng shù shàng xiàlai le	Con mèo từ trên cây xuống rồi
电梯已经下来了。	Diàntī yǐjīng xiàlai le	Thang máy đã xuống rồi
我马上下来找你。	Wǒ mǎshàng xiàlai zhǎo nǐ	Tôi xuống tìm bạn ngay
他紧张得流下来了汗。	Tā jǐnzhāng de liú xiàlai le hàn	Anh ấy căng thẳng đến mức đổ mồ hôi
天黑下来了。	Tiān hēi xiàlai le	Trời tối xuống rồi
我现在没空儿。	Wǒ xiànzài méi kòngr	Bây giờ tôi không rảnh
你有空儿吗？	Nǐ yǒu kòngr ma	Bạn có rảnh không?
等我有空儿再去。	Děng wǒ yǒu kòngr zài qù	Đợi tôi rảnh rồi đi
今天下午我有空儿。	Jīntiān xiàwǔ wǒ yǒu kòngr	Chiều nay tôi rảnh
有空儿一起吃饭吧。	Yǒu kòngr yìqǐ chīfàn ba	Rảnh thì cùng đi ăn nhé
他最近一点儿空儿都没有。	Tā zuìjìn yìdiǎnr kòngr dōu méiyǒu	Dạo gần đây anh ấy không có chút thời gian rảnh nào
我想找个空儿休息一下。	Wǒ xiǎng zhǎo ge kòngr xiūxi yíxià	Tôi muốn tìm lúc rảnh để nghỉ ngơi một chút
你什么时候有空儿？	Nǐ shénme shíhou yǒu kòngr	Khi nào bạn rảnh?
我周末比较有空儿。	Wǒ zhōumò bǐjiào yǒu kòngr	Cuối tuần tôi khá rảnh
有空儿的话来我家玩吧。	Yǒu kòngr de huà lái wǒ jiā wán ba	Nếu rảnh thì đến nhà tôi chơi nhé
你过来一下。	Nǐ guòlái yíxià	Bạn qua đây một chút
快过来吃饭。	Kuài guòlái chīfàn	Mau qua đây ăn cơm
老师叫我过去。	Lǎoshī jiào wǒ guòlai	Giáo viên gọi tôi qua
他慢慢走过来了。	Tā mànman zǒu guòlai le	Anh ấy từ từ đi lại đây
你什么时候过来？	Nǐ shénme shíhou guòlai	Khi nào bạn qua đây?
请把那本书拿过来。	Qǐng bǎ nà běn shū ná guòlai	Làm ơn mang quyển sách đó qua đây
小狗跑过来了。	Xiǎogǒu pǎo guòlai le	Chú chó chạy lại đây rồi
她从外面走过来。	Tā cóng wàimiàn zǒu guòlai	Cô ấy từ bên ngoài đi lại đây
我马上过来找你。	Wǒ mǎshàng guòlai zhǎo nǐ	Tôi sẽ qua tìm bạn ngay
你能过来帮我吗？	Nǐ néng guòlai bāng wǒ ma	Bạn có thể qua giúp tôi không?
他刚刚过去了。	Tā gānggang guòqù le	Anh ấy vừa đi qua rồi
你先过去吧。	Nǐ xiān guòqù ba	Bạn qua trước đi
我每天走路过去。	Wǒ měitiān zǒulù guòqù	Mỗi ngày tôi đi bộ qua đó
请把椅子搬过去。	Qǐng bǎ yǐzi bān guòqù	Hãy chuyển cái ghế qua bên đó
我们一起过去看看吧。	Wǒmen yìqǐ guòqù kànkan ba	Chúng ta cùng qua đó xem đi
他已经过去了。	Tā yǐjīng guòqù le	Anh ấy đã qua đó rồi
火车开过去了。	Huǒchē kāi guòqù le	Tàu hỏa chạy qua rồi
时间慢慢过去了。	Shíjiān mànman guòqù le	Thời gian dần trôi qua
别走过去，很危险。	Bié zǒu guòqù, hěn wēixiǎn	Đừng đi qua đó, rất nguy hiểm
我把照片发过去了。	Wǒ bǎ zhàopiàn fā guòqù le	Tôi gửi ảnh qua rồi
请进去坐吧。	Qǐng jìnqù zuò ba	Mời vào ngồi
他刚刚进去了。	Tā gānggang jìnqù le	Anh ấy vừa vào trong rồi
